https://i.xeoto.com.vn/bien-bao-giao-thong/bien-bao-cam/140-cam-xe-cong-nong.jpg,Cấm xe công nông,"Số hiệu: <span data-code="""">140</span>",Để báo đường cấm công nông.
https://i.xeoto.com.vn/bien-bao-giao-thong/bien-bao-cam/139-cam-di-thang-va-re-phai.jpg,Cấm đi thẳng và rẽ phải,"Số hiệu: <span data-code="""">139</span>",Biểu thị đường qua nút giao cấm tất cả các loại xe đi thẳng và rẽ phải; biển đặt ở vị trí ngay trước nút giao. Nếu có quy định cấm về thời gian hoặc loại xe thì sử dụng biển báo phụ thời gian hoặc hình vẽ loại xe cấm.
https://i.xeoto.com.vn/bien-bao-giao-thong/bien-bao-cam/138-cam-di-thang-va-re-trai.jpg,Cấm đi thẳng và rẽ trái,"Số hiệu: <span data-code="""">138</span>",Biểu thị đường qua nút giao cấm tất cả các loại xe đi thẳng và rẽ trái; biển đặt ở vị trí ngay trước nút giao. Nếu có quy định cấm về thời gian hoặc loại xe thì sử dụng biển báo phụ thời gian hoặc hình vẽ loại xe cấm.
https://i.xeoto.com.vn/bien-bao-giao-thong/bien-bao-cam/137-cam-re-trai-va-re-phai.jpg,Cấm rẽ trái và rẽ phải,"Số hiệu: <span data-code="""">137</span>",Các ngả đường phía trước cấm tất cả các lại xe rẽ trái hay rẽ phải. Biển được đặt ở vị trí ngay trước nút giao của đường cấm rẽ phải hay rẽ trái. Nếu có quy định cấm về thời gian hoặc loại xe thì sử dụng biển báo phụ thời gian hoặc hình vẽ loại xe cấm.
https://i.xeoto.com.vn/bien-bao-giao-thong/bien-bao-cam/136-cam-di-thang.jpg,Cấm đi thẳng,"Số hiệu: <span data-code="""">136</span>",Đường ở phía trước cấm tất cả các loại xe đi thẳng. Biển được đặt ở vị trí ngay trước nút giao của đường cấm đi thẳng. Nếu có quy định cắm về thời gian và loại xe thì sử dụng biển báo phụ thời gian hoặc hình vẽ loại xe cấm.
https://i.xeoto.com.vn/bien-bao-giao-thong/bien-bao-cam/135-het-tat-ca-cac-lenh-cam.jpg,Hết tất cả các lệnh cấm,"Số hiệu: <span data-code="""">135</span>","Báo hết đoạn đường mà nhiều biển báo cấm cùng hết hiệu lực. Biển có giá trị báo cho người lái xe biết hiệu lực của biển số 121 và nhiều biển cấm khác từ biển số 125 đến biển số 131 (a,b,c) được đặt trước đó cùng hết tác dụng."
https://i.xeoto.com.vn/bien-bao-giao-thong/bien-bao-cam/134-het-han-che-toc-do-toi-da.jpg,Hết hạn chế tốc độ tối đa,"Số hiệu: <span data-code="""">134</span>","Báo hết đoạn đường hạn chế tốc độ tối đa. Biển có giá trị báo cho người lái xe biết hiệu lực của biển số 127 hết tác dụng. Kể từ biển này, các xe được phép chạy với tốc độ tối đa đã quy định trong luật đường đường bộ."
https://i.xeoto.com.vn/bien-bao-giao-thong/bien-bao-cam/133-het-cam-vuot.jpg,Hết cấm vượt,"Số hiệu: <span data-code="""">133</span>",Báo hết đoạn đường cấm vượt. Biển có tác dụng báo cho người lái xe biết hiệu lực của các biển số 125 và biển số 126 hết tác dụng. Các xe cơ giới được phép vượt nhau nhưng phải theo quy định về điều kiện cho phép vượt nhau.
https://i.xeoto.com.vn/bien-bao-giao-thong/bien-bao-cam/132-nhuong-duong-cho-xe-co-gioi-di-nguoc-chieu-qua-duong-hep.jpg,Nhường đường cho xe cơ giới đi ngược chiều qua đường hẹp,"Số hiệu: <span data-code="""">132</span>",Báo các loại xe (cơ giới và thô sơ) kể cả các xe được ưu tiên theo quy định khi thấy biển số 132 phải nhường đường cho các loại xe cơ giới đang đi theo hướng ngược lại qua các đoạn đường hẹp hoặc cầu hẹp.
https://i.xeoto.com.vn/bien-bao-giao-thong/bien-bao-cam/131c-cam-do-xe.jpg,Cấm đỗ xe,"Số hiệu: <span data-code="""">131c</span>",Biển số 131c có hiệu lực cấm các loại xe cơ giới đỗ ở phía đường có đặt biển vào những ngày chẵn.
